Year      Data   Minimum   Maximum
1979      0.11      0.00      1.14
1980      1.39      0.00      3.35
1981      0.62      0.00      3.15
1982      4.84      0.11     10.80
1983      7.92      0.61     11.68
1984     10.09      2.81     14.66
1985     14.21      7.36     18.79
1986     11.34      3.38     14.37
1987     19.31     10.61     22.45
1988     10.04      6.88     13.77
1989     18.73     10.17     21.74
1990     19.25     16.64     21.06
1991     18.83     13.48     22.61
1992     22.32     17.52     24.90
1993     24.23     22.12     25.81
1994     23.56     22.03     25.20
1996     22.75     20.38     26.92
1997     22.15     19.91     25.06
1998     25.89     22.88     27.91
1999     23.25     20.88     25.80
2000     24.84     19.00     29.86
2001     25.02     23.02     26.50
2002     12.00      3.54     21.87
2003     25.77     19.02     28.43
2004     19.45     16.45     22.81
2005     24.35     19.76     27.25
2006     26.60     22.69     29.62
2007     22.02     18.38     25.18
2008     25.15     21.21     26.96
2009     21.96     17.27     24.40
2010     19.44     12.33     22.59
2011     24.71     22.14     26.06
2012     17.84     11.15     21.11
2013     21.04     15.37     24.01
2014     20.94     16.19     24.05
2015     25.64     18.96     28.21
2016     20.71     17.20     22.79
2017     17.42     15.78     19.58
2018     22.88     19.93     24.80
2019      9.34      6.16     16.36
2020     23.54     21.22     24.80
2021     23.34     16.90     24.81
