"";"godz";"count"
"1";"00";25,4754041627528
"2";"01";27,4383430594088
"3";"02";27,4678981348637
"4";"03";30,2209964412811
"5";"04";21,4367245657568
"6";"05";18,7982195845697
"7";"06";25,9940405244338
"8";"07";27,3087857847976
"9";"08";26,5209026471865
"10";"09";28,2861845598386
"11";"10";30,1449248469104
"12";"11";30,1045551097475
"13";"12";29,3540312220189
"14";"13";28,9722130938036
"15";"14";28,8619951477094
"16";"15";29,0841730279898
"17";"16";28,3507578701904
"18";"17";27,8622647679639
"19";"18";27,6967330542993
"20";"19";26,5297262464498
"21";"20";26,0295260465831
"22";"21";24,7489054334887
"23";"22";25,1720690313953
"24";"23";24,8557826869252
