"query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"Montclair, NJ, USA",40.8164458,-74.2210643,40.788323,40.860915,-74.23764,-74.182689
"Copenhagen, Denmark",55.6867243,12.5700724,55.5267243,55.8467243,12.4100724,12.7300724
"Haifa, Israel",32.8191218,34.9983856,32.7579523,32.8427003,34.9499666,35.0797444
"Mumbai, India",19.0759899,72.8773928,18.8939566,19.2694771,72.776333,72.9817485
"Jerusalem, Israel",31.7788242,35.2257626,31.7096214,31.8826655,35.0852011,35.2650458
"Washington, DC, USA",38.8950368,-77.0365427,38.7916303,38.995968,-77.1197949,-76.909366
"Bremerhaven-Lehe, Germany",53.5667574,8.6006,53.5617574,53.5717574,8.5956,8.6056
"Berlin, Germany",52.5170365,13.3888599,52.3570365,52.6770365,13.2288599,13.5488599
"Buenos Aires, Argentina",-34.6075682,-58.4370894,-34.705637,-34.5265535,-58.5314494,-58.3351423
"Damanhur, Egypt",31.0374982,30.4710625,30.8774982,31.1974982,30.3110625,30.6310625
"Mukawa, Japan",42.5748177,141.9268704,42.4027551,42.987137,141.7957956,142.333996
"Suita, Japan",34.764884,135.51735,34.744572,34.8308774,135.4868007,135.555191
"Sioux City, IA, USA",42.4966815,-96.4058782,42.3366815,42.6566815,-96.5658782,-96.2458782
"Banbury, United Kingdom",52.0601807,-1.3402795,52.0312483,52.0922564,-1.3754969,-1.2963665
"Masterton, New Zealand",-40.934593,175.877083054299,-41.1963233,-40.6729189,175.4350691,176.2715632
"Strzelno, Poland",52.6301742,18.1733807,52.6197038,52.643381,18.1356322,18.1880862
"Mondovi, Algeria",36.6851201,7.7470888,36.645175,36.725732,7.666018,7.773571
"Longlier, Belgium",49.8562222,5.4609005,49.8445261,49.9030318,5.4083675,5.5294192
"Ulm, Germany",48.3974003,9.9934336,48.3066627,48.4685153,9.8420502,10.0428303
"Carcassonne, France",43.2130358,2.3491069,43.1730358,43.2530358,2.3091069,2.3891069
"Tramelan, Switzerland",47.223677,7.1030216,47.2068095,47.2477588,7.0436674,7.1511422
"Bulawayo, Zimbabwe",-20.1560599,28.5887063,-20.3160599,-19.9960599,28.4287063,28.7487063
"Kaysersberg, France",48.1571873,7.24109400894014,48.124922,48.1889242,7.2013797,7.2727996
"Budapest, Hungary",47.4979937,19.0403594,47.3496899,47.6131468,18.9251057,19.3349258
"Rostock, Germany",54.0924445,12.1286127,54.050805,54.2445018,11.998369,12.2954271
"Atherton, Australia",-17.2674058,145.4761663,-17.3074058,-17.2274058,145.4361663,145.5161663
"Kislovodsk, Russia",43.9128743,42.7192186,43.8439214,43.9599627,42.659837,42.8287947
"Moscow, Russia",55.7504461,37.6174943,55.4913076,55.9577717,37.290502,37.9674277
"Sainte-Foy-les-Lyon, France",45.7362255,4.7934767,45.6962255,45.7762255,4.7534767,4.8334767
"Zamora, Mexico",20.0290033,-102.271268668769,19.938094,20.1095095,-102.4072034,-102.1223637
"Owosso, MI, USA",42.9975968,-84.1720541,42.971775,43.017222,-84.211327,-84.148072
"Vienna, Austria",48.2083537,16.3725042,48.0483537,48.3683537,16.2125042,16.5325042
"New Haven, CT, USA",41.3082138,-72.9250518,41.2464253,41.3505701,-72.998048,-72.8604243
"Guebwiller, France",47.9117311,7.21060648361689,47.895947,47.9274475,7.1771433,7.2421334
