Entity,Code,Year,CSP LCOE (2019 USD/kWh),Hydro LCOE (2019 USD/kWh),Solar LCOE (2019 USD/kWh),Onshore wind LCOE (2019 USD/kWh),Bioenergy LCOE (2019 USD/kWh),Geothermal LCOE (2019 USD/kWh),Offshore wind LCOE (2019 USD/kWh)
Brazil,BRA,1998,,,,0.069,,,
Brazil,BRA,2001,,,,0.149,,,
Brazil,BRA,2002,,,,0.129,,,
Brazil,BRA,2003,,,,0.145,,,
Brazil,BRA,2005,,,,0.137,,,
Brazil,BRA,2006,,,,0.105,,,
Brazil,BRA,2007,,,,0.11,,,
Brazil,BRA,2008,,,,0.09,,,
Brazil,BRA,2009,,,,0.114,,,
Brazil,BRA,2010,,,,0.111,,,
Brazil,BRA,2011,,,,0.086,,,
Brazil,BRA,2012,,,,0.086,,,
Brazil,BRA,2013,,,,0.083,,,
Brazil,BRA,2014,,,,0.072,,,
Brazil,BRA,2015,,,,0.064,,,
Brazil,BRA,2016,,,,0.065,,,
Brazil,BRA,2017,,,,0.057,,,
Brazil,BRA,2018,,,,0.059,,,
Brazil,BRA,2019,,,,0.048,,,
Canada,CAN,1990,,,,0.203,,,
Canada,CAN,1992,,,,0.182,,,
Canada,CAN,1994,,,,0.102,,,
Canada,CAN,1996,,,,0.152,,,
Canada,CAN,1999,,,,0.141,,,
Canada,CAN,2000,,,,0.121,,,
Canada,CAN,2001,,,,0.097,,,
Canada,CAN,2002,,,,0.095,,,
Canada,CAN,2003,,,,0.094,,,
Canada,CAN,2004,,,,0.092,,,
Canada,CAN,2005,,,,0.087,,,
Canada,CAN,2006,,,,0.093,,,
Canada,CAN,2007,,,,0.102,,,
Canada,CAN,2008,,,,0.083,,,
Canada,CAN,2009,,,,0.083,,,
Canada,CAN,2010,,,,0.096,,,
Canada,CAN,2011,,,,0.088,,,
Canada,CAN,2012,,,,0.101,,,
Canada,CAN,2013,,,,0.097,,,
Canada,CAN,2014,,,,0.088,,,
Canada,CAN,2015,,,,0.085,,,
Canada,CAN,2016,,,,0.088,,,
Canada,CAN,2017,,,,0.074,,,
Canada,CAN,2018,,,,0.064,,,
Canada,CAN,2019,,,,0.073,,,
China,CHN,2010,,,0.3012,0.07,,,
China,CHN,2011,,,0.2496,0.065,,,
China,CHN,2012,,,0.1894,0.066,,,
China,CHN,2013,,,0.1546,0.064,,,
China,CHN,2014,,,0.1202,0.062,,,
China,CHN,2015,,,0.0931,0.068,,,
