"color","gracz","rodzaj","n","mean","day","hour"
"both","Mlodziak77","blitz",4,0.875,4,18
"both","tymekkk","blitz",13,0.346153846153846,4,18
"white","grooney","blitz",9,0.944444444444444,4,18
"white","grooney","bullet",39,0.5,4,18
"white","grooney","rapid",2,0.5,4,18
"white","Mlodziak77","blitz",2,0.75,4,18
"white","tymekkk","blitz",4,0.375,4,18
"black","grooney","blitz",4,0.875,4,19
"black","grooney","bullet",24,0.541666666666667,4,19
"black","grooney","rapid",2,0.5,4,19
"black","Mlodziak77","blitz",5,0.4,4,19
"black","Mlodziak77","rapid",2,0.5,4,19
"black","tymekkk","blitz",5,0.4,4,19
"both","grooney","blitz",12,0.708333333333333,4,19
"both","grooney","bullet",53,0.39622641509434,4,19
"both","grooney","rapid",2,0.5,4,19
"both","Mlodziak77","blitz",9,0.333333333333333,4,19
"both","Mlodziak77","bullet",1,1,4,19
"both","Mlodziak77","rapid",2,0.5,4,19
"both","tymekkk","blitz",12,0.5,4,19
"white","grooney","blitz",8,0.625,4,19
"white","grooney","bullet",29,0.275862068965517,4,19
"white","Mlodziak77","blitz",4,0.25,4,19
"white","Mlodziak77","bullet",1,1,4,19
"white","tymekkk","blitz",7,0.571428571428571,4,19
"black","grooney","blitz",5,0.6,4,20
"black","grooney","bullet",32,0.515625,4,20
"black","grooney","rapid",1,0,4,20
"black","Mlodziak77","blitz",6,0.333333333333333,4,20
"black","Mlodziak77","bullet",1,1,4,20
"black","tymekkk","blitz",6,0.666666666666667,4,20
"both","grooney","blitz",8,0.5,4,20
"both","grooney","bullet",65,0.515384615384615,4,20
"both","grooney","rapid",2,0.25,4,20
"both","Mlodziak77","blitz",16,0.40625,4,20
"both","Mlodziak77","bullet",1,1,4,20
"both","Mlodziak77","rapid",1,0,4,20
"both","tymekkk","blitz",13,0.730769230769231,4,20
"white","grooney","blitz",3,0.333333333333333,4,20
"white","grooney","bullet",33,0.515151515151515,4,20
"white","grooney","rapid",1,0.5,4,20
"white","Mlodziak77","blitz",10,0.45,4,20
"white","Mlodziak77","rapid",1,0,4,20
"white","tymekkk","blitz",7,0.785714285714286,4,20
"black","grooney","blitz",5,0.6,4,21
"black","grooney","bullet",16,0.4375,4,21
"black","Mlodziak77","blitz",6,0.833333333333333,4,21
"black","tymekkk","blitz",3,0.666666666666667,4,21
"both","grooney","blitz",8,0.6875,4,21
"both","grooney","bullet",33,0.439393939393939,4,21
"both","grooney","rapid",1,0,4,21
"both","Mlodziak77","blitz",11,0.636363636363636,4,21
"both","Mlodziak77","rapid",1,0,4,21
"both","tymekkk","blitz",7,0.857142857142857,4,21
"white","grooney","blitz",3,0.833333333333333,4,21
"white","grooney","bullet",17,0.441176470588235,4,21
"white","grooney","rapid",1,0,4,21
"white","Mlodziak77","blitz",5,0.4,4,21
"white","Mlodziak77","rapid",1,0,4,21
"white","tymekkk","blitz",4,1,4,21
"black","grooney","blitz",5,0.4,4,22
"black","grooney","bullet",17,0.558823529411765,4,22
"black","Mlodziak77","blitz",1,0,4,22
"both","grooney","blitz",10,0.4,4,22
"both","grooney","bullet",36,0.541666666666667,4,22
"both","grooney","rapid",1,1,4,22
"both","Mlodziak77","blitz",2,0.5,4,22
"white","grooney","blitz",5,0.4,4,22
"white","grooney","bullet",19,0.526315789473684,4,22
"white","grooney","rapid",1,1,4,22
"white","Mlodziak77","blitz",1,1,4,22
"black","grooney","blitz",2,0.5,4,23
"black","grooney","bullet",6,0.333333333333333,4,23
"black","Mlodziak77","blitz",2,0.5,4,23
"black","tymekkk","blitz",1,1,4,23
"both","grooney","blitz",4,0.25,4,23
"both","grooney","bullet",11,0.409090909090909,4,23
"both","Mlodziak77","blitz",3,0.666666666666667,4,23
"both","tymekkk","blitz",2,1,4,23
"white","grooney","blitz",2,0,4,23
"white","grooney","bullet",5,0.5,4,23
"white","Mlodziak77","blitz",1,1,4,23
"white","tymekkk","blitz",1,1,4,23
"black","grooney","bullet",5,0.2,7,0
"both","grooney","bullet",12,0.375,7,0
"white","grooney","bullet",7,0.5,7,0
"black","tymekkk","blitz",2,1,7,5
"both","tymekkk","blitz",4,1,7,5
"white","tymekkk","blitz",2,1,7,5
"black","Mlodziak77","rapid",2,1,7,6
"both","Mlodziak77","blitz",2,0,7,6
"both","Mlodziak77","rapid",2,1,7,6
"white","Mlodziak77","blitz",2,0,7,6
"black","grooney","bullet",6,0.25,7,7
"black","Mlodziak77","blitz",1,1,7,7
"both","grooney","bullet",10,0.35,7,7
"both","Mlodziak77","blitz",1,1,7,7
"white","grooney","bullet",4,0.5,7,7
"black","grooney","bullet",7,0.428571428571429,7,8
"black","tymekkk","blitz",2,0.5,7,8
"both","grooney","bullet",13,0.307692307692308,7,8
"both","Mlodziak77","blitz",1,1,7,8
"both","tymekkk","blitz",3,0.666666666666667,7,8
"white","grooney","bullet",6,0.166666666666667,7,8
"white","Mlodziak77","blitz",1,1,7,8
"white","tymekkk","blitz",1,1,7,8
"black","grooney","blitz",2,0.5,7,9
"black","grooney","bullet",10,0.4,7,9
"black","Mlodziak77","blitz",4,0,7,9
"black","tymekkk","blitz",2,0.5,7,9
"both","grooney","blitz",2,0.5,7,9
"both","grooney","bullet",19,0.368421052631579,7,9
"both","Mlodziak77","blitz",11,0.636363636363636,7,9
"both","tymekkk","blitz",5,0.4,7,9
"white","grooney","bullet",9,0.333333333333333,7,9
"white","Mlodziak77","blitz",7,1,7,9
"white","tymekkk","blitz",3,0.333333333333333,7,9
"black","grooney","bullet",14,0.428571428571429,7,10
"black","Mlodziak77","blitz",4,0.5,7,10
"black","Mlodziak77","rapid",1,0,7,10
"black","tymekkk","blitz",3,0.666666666666667,7,10
"both","grooney","blitz",1,0,7,10
"both","grooney","bullet",35,0.385714285714286,7,10
"both","Mlodziak77","blitz",12,0.666666666666667,7,10
"both","Mlodziak77","rapid",1,0,7,10
"both","tymekkk","blitz",7,0.571428571428571,7,10
"white","grooney","blitz",1,0,7,10
"white","grooney","bullet",21,0.357142857142857,7,10
"white","Mlodziak77","blitz",8,0.75,7,10
"white","tymekkk","blitz",4,0.5,7,10
"black","grooney","blitz",1,0,7,11
"black","grooney","bullet",53,0.405660377358491,7,11
"black","grooney","rapid",1,0,7,11
"black","Mlodziak77","blitz",4,0.25,7,11
"black","Mlodziak77","rapid",3,0.833333333333333,7,11
"black","tymekkk","blitz",4,0.75,7,11
"both","grooney","blitz",2,0.5,7,11
"both","grooney","bullet",105,0.538095238095238,7,11
"both","grooney","rapid",2,0.25,7,11
"both","Mlodziak77","blitz",6,0.166666666666667,7,11
"both","Mlodziak77","rapid",5,0.7,7,11
"both","tymekkk","blitz",8,0.75,7,11
"white","grooney","blitz",1,1,7,11
"white","grooney","bullet",52,0.673076923076923,7,11
"white","grooney","rapid",1,0.5,7,11
"white","Mlodziak77","blitz",2,0,7,11
"white","Mlodziak77","rapid",2,0.5,7,11
"white","tymekkk","blitz",4,0.75,7,11
"black","grooney","blitz",7,0.857142857142857,7,12
"black","grooney","bullet",32,0.640625,7,12
"black","grooney","rapid",1,0,7,12
"black","Mlodziak77","blitz",12,0.583333333333333,7,12
"black","Mlodziak77","rapid",1,0.5,7,12
"black","tymekkk","blitz",4,0.25,7,12
"both","grooney","blitz",11,0.727272727272727,7,12
"both","grooney","bullet",64,0.609375,7,12
"both","grooney","rapid",3,0.333333333333333,7,12
"both","Mlodziak77","blitz",26,0.538461538461538,7,12
"both","Mlodziak77","rapid",2,0.75,7,12
"both","tymekkk","blitz",6,0.333333333333333,7,12
"white","grooney","blitz",4,0.5,7,12
"white","grooney","bullet",32,0.578125,7,12
"white","grooney","rapid",2,0.5,7,12
"white","Mlodziak77","blitz",14,0.5,7,12
"white","Mlodziak77","rapid",1,1,7,12
"white","tymekkk","blitz",2,0.5,7,12
"black","grooney","blitz",2,0,7,13
"black","grooney","bullet",24,0.520833333333333,7,13
"black","grooney","rapid",3,0.333333333333333,7,13
"black","Mlodziak77","blitz",13,0.461538461538462,7,13
"black","Mlodziak77","bullet",3,0.333333333333333,7,13
"black","Mlodziak77","rapid",3,0.666666666666667,7,13
"black","tymekkk","blitz",2,0.5,7,13
"both","grooney","blitz",7,0.285714285714286,7,13
"both","grooney","bullet",44,0.522727272727273,7,13
"both","grooney","rapid",7,0.571428571428571,7,13
"both","Mlodziak77","blitz",23,0.565217391304348,7,13
"both","Mlodziak77","bullet",6,0.333333333333333,7,13
"both","Mlodziak77","rapid",10,0.7,7,13
"both","tymekkk","blitz",4,0.5,7,13
"white","grooney","blitz",5,0.4,7,13
"white","grooney","bullet",20,0.525,7,13
"white","grooney","rapid",4,0.75,7,13
"white","Mlodziak77","blitz",10,0.7,7,13
"white","Mlodziak77","bullet",3,0.333333333333333,7,13
"white","Mlodziak77","rapid",7,0.714285714285714,7,13
"white","tymekkk","blitz",2,0.5,7,13
"black","grooney","bullet",30,0.466666666666667,7,14
"black","grooney","rapid",2,0,7,14
"black","Mlodziak77","blitz",16,0.34375,7,14
"black","Mlodziak77","rapid",4,1,7,14
"black","tymekkk","blitz",5,0.2,7,14
"both","grooney","bullet",59,0.483050847457627,7,14
"both","grooney","rapid",4,0.5,7,14
"both","Mlodziak77","blitz",26,0.442307692307692,7,14
"both","Mlodziak77","bullet",1,1,7,14
"both","Mlodziak77","rapid",7,0.571428571428571,7,14
"both","tymekkk","blitz",7,0.428571428571429,7,14
"white","grooney","bullet",29,0.5,7,14
"white","grooney","rapid",2,1,7,14
"white","Mlodziak77","blitz",10,0.6,7,14
"white","Mlodziak77","bullet",1,1,7,14
"white","Mlodziak77","rapid",3,0,7,14
"white","tymekkk","blitz",2,1,7,14
"black","grooney","blitz",4,0.5,7,15
"black","grooney","bullet",35,0.628571428571429,7,15
"black","grooney","rapid",3,0.666666666666667,7,15
"black","Mlodziak77","blitz",6,0.75,7,15
"black","Mlodziak77","bullet",3,0.333333333333333,7,15
"black","Mlodziak77","rapid",4,0.75,7,15
"black","tymekkk","blitz",6,1,7,15
"both","grooney","blitz",7,0.428571428571429,7,15
"both","grooney","bullet",74,0.567567567567568,7,15
"both","grooney","rapid",4,0.75,7,15
"both","Mlodziak77","blitz",13,0.5,7,15
"both","Mlodziak77","bullet",4,0.5,7,15
"both","Mlodziak77","rapid",6,0.5,7,15
"both","tymekkk","blitz",12,0.833333333333333,7,15
"white","grooney","blitz",3,0.333333333333333,7,15
"white","grooney","bullet",39,0.512820512820513,7,15
"white","grooney","rapid",1,1,7,15
"white","Mlodziak77","blitz",7,0.285714285714286,7,15
"white","Mlodziak77","bullet",1,1,7,15
"white","Mlodziak77","rapid",2,0,7,15
"white","tymekkk","blitz",6,0.666666666666667,7,15
"black","grooney","blitz",11,0.636363636363636,7,16
"black","grooney","bullet",37,0.540540540540541,7,16
"black","grooney","rapid",2,1,7,16
"black","Mlodziak77","blitz",4,1,7,16
"black","Mlodziak77","rapid",2,1,7,16
"black","tymekkk","blitz",2,0,7,16
"both","grooney","blitz",23,0.608695652173913,7,16
"both","grooney","bullet",79,0.563291139240506,7,16
"both","grooney","rapid",6,0.833333333333333,7,16
"both","Mlodziak77","blitz",10,0.5,7,16
"both","Mlodziak77","bullet",1,1,7,16
"both","Mlodziak77","rapid",6,1,7,16
"both","tymekkk","blitz",3,0.166666666666667,7,16
"white","grooney","blitz",12,0.583333333333333,7,16
"white","grooney","bullet",42,0.583333333333333,7,16
"white","grooney","rapid",4,0.75,7,16
"white","Mlodziak77","blitz",6,0.166666666666667,7,16
"white","Mlodziak77","bullet",1,1,7,16
"white","Mlodziak77","rapid",4,1,7,16
"white","tymekkk","blitz",1,0.5,7,16
"black","grooney","blitz",6,0.333333333333333,7,17
"black","grooney","bullet",32,0.359375,7,17
"black","grooney","rapid",3,0.333333333333333,7,17
"black","Mlodziak77","blitz",8,0.5,7,17
"black","Mlodziak77","bullet",3,0.666666666666667,7,17
"black","Mlodziak77","rapid",5,0.2,7,17
"both","grooney","blitz",17,0.558823529411765,7,17
"both","grooney","bullet",61,0.434426229508197,7,17
"both","grooney","rapid",6,0.5,7,17
"both","Mlodziak77","blitz",18,0.5,7,17
"both","Mlodziak77","bullet",6,0.333333333333333,7,17
"both","Mlodziak77","rapid",8,0.375,7,17
"both","tymekkk","blitz",4,0.25,7,17
"white","grooney","blitz",11,0.681818181818182,7,17
"white","grooney","bullet",29,0.517241379310345,7,17
"white","grooney","rapid",3,0.666666666666667,7,17
"white","Mlodziak77","blitz",10,0.5,7,17
"white","Mlodziak77","bullet",3,0,7,17
"white","Mlodziak77","rapid",3,0.666666666666667,7,17
"white","tymekkk","blitz",4,0.25,7,17
"black","grooney","blitz",5,0.4,7,18
"black","grooney","bullet",25,0.52,7,18
"black","grooney","rapid",1,0,7,18
"black","Mlodziak77","blitz",9,0.666666666666667,7,18
"black","Mlodziak77","rapid",3,0.666666666666667,7,18
"black","tymekkk","blitz",3,0.666666666666667,7,18
"both","grooney","blitz",8,0.5,7,18
"both","grooney","bullet",53,0.613207547169811,7,18
"both","grooney","rapid",2,0.5,7,18
"both","Mlodziak77","blitz",18,0.611111111111111,7,18
"both","Mlodziak77","rapid",4,0.75,7,18
"both","tymekkk","blitz",8,0.4375,7,18
"white","grooney","blitz",3,0.666666666666667,7,18
"white","grooney","bullet",28,0.696428571428571,7,18
"white","grooney","rapid",1,1,7,18
"white","Mlodziak77","blitz",9,0.555555555555556,7,18
"white","Mlodziak77","rapid",1,1,7,18
"white","tymekkk","blitz",5,0.3,7,18
"black","grooney","blitz",3,0.333333333333333,7,19
"black","grooney","bullet",14,0.535714285714286,7,19
"black","Mlodziak77","blitz",9,0.833333333333333,7,19
"black","Mlodziak77","rapid",1,1,7,19
"black","tymekkk","blitz",5,0.6,7,19
"both","grooney","blitz",7,0.428571428571429,7,19
"both","grooney","bullet",26,0.557692307692308,7,19
"both","grooney","rapid",2,0,7,19
"both","Mlodziak77","blitz",12,0.75,7,19
"both","Mlodziak77","rapid",2,0.5,7,19
"both","tymekkk","blitz",6,0.583333333333333,7,19
"white","grooney","blitz",4,0.5,7,19
"white","grooney","bullet",12,0.583333333333333,7,19
"white","grooney","rapid",2,0,7,19
"white","Mlodziak77","blitz",3,0.5,7,19
"white","Mlodziak77","rapid",1,0,7,19
"white","tymekkk","blitz",1,0.5,7,19
"black","grooney","blitz",5,0.8,7,20
"black","grooney","bullet",17,0.441176470588235,7,20
"black","grooney","rapid",2,0,7,20
"black","Mlodziak77","blitz",11,0.5,7,20
"black","Mlodziak77","bullet",5,0.4,7,20
"black","tymekkk","blitz",3,0.166666666666667,7,20
"both","grooney","blitz",11,0.727272727272727,7,20
"both","grooney","bullet",35,0.514285714285714,7,20
"both","grooney","rapid",6,0.166666666666667,7,20
"both","Mlodziak77","blitz",25,0.46,7,20
"both","Mlodziak77","bullet",8,0.375,7,20
"both","tymekkk","blitz",5,0.3,7,20
"white","grooney","blitz",6,0.666666666666667,7,20
"white","grooney","bullet",18,0.583333333333333,7,20
"white","grooney","rapid",4,0.25,7,20
"white","Mlodziak77","blitz",14,0.428571428571429,7,20
"white","Mlodziak77","bullet",3,0.333333333333333,7,20
"white","tymekkk","blitz",2,0.5,7,20
"black","grooney","blitz",11,0.636363636363636,7,21
"black","grooney","bullet",21,0.476190476190476,7,21
"black","grooney","rapid",8,0.75,7,21
"black","Mlodziak77","blitz",2,0.5,7,21
"black","tymekkk","blitz",4,0.75,7,21
"both","grooney","blitz",21,0.523809523809524,7,21
"both","grooney","bullet",47,0.478723404255319,7,21
"both","grooney","rapid",13,0.692307692307692,7,21
"both","Mlodziak77","blitz",8,0.375,7,21
"both","tymekkk","blitz",5,0.6,7,21
"white","grooney","blitz",10,0.4,7,21
"white","grooney","bullet",26,0.480769230769231,7,21
"white","grooney","rapid",5,0.6,7,21
"white","Mlodziak77","blitz",6,0.333333333333333,7,21
"white","tymekkk","blitz",1,0,7,21
"black","grooney","blitz",1,1,7,22
"black","grooney","bullet",54,0.5,7,22
"black","grooney","rapid",4,1,7,22
"black","Mlodziak77","blitz",7,0.714285714285714,7,22
"both","grooney","blitz",3,0.666666666666667,7,22
"both","grooney","bullet",111,0.481981981981982,7,22
"both","grooney","rapid",8,1,7,22
"both","Mlodziak77","blitz",12,0.583333333333333,7,22
"both","Mlodziak77","bullet",1,1,7,22
"both","tymekkk","blitz",1,0,7,22
"white","grooney","blitz",2,0.5,7,22
"white","grooney","bullet",57,0.464912280701754,7,22
"white","grooney","rapid",4,1,7,22
"white","Mlodziak77","blitz",5,0.4,7,22
"white","Mlodziak77","bullet",1,1,7,22
"white","tymekkk","blitz",1,0,7,22
"black","grooney","blitz",2,0,7,23
"black","grooney","bullet",20,0.375,7,23
"black","grooney","rapid",2,0.5,7,23
"black","Mlodziak77","blitz",5,0,7,23
"both","grooney","blitz",3,0,7,23
"both","grooney","bullet",37,0.391891891891892,7,23
"both","grooney","rapid",4,0.75,7,23
"both","Mlodziak77","blitz",12,0.25,7,23
"white","grooney","blitz",1,0,7,23
"white","grooney","bullet",17,0.411764705882353,7,23
"white","grooney","rapid",2,1,7,23
"white","Mlodziak77","blitz",7,0.428571428571429,7,23
"black","tymekkk","blitz",2,0,5,5
"both","tymekkk","blitz",2,0,5,5
"black","grooney","bullet",2,0,5,6
"both","grooney","bullet",3,0.166666666666667,5,6
"both","tymekkk","blitz",2,0,5,6
"white","grooney","bullet",1,0.5,5,6
"white","tymekkk","blitz",2,0,5,6
"black","tymekkk","blitz",3,0.666666666666667,5,7
"both","Mlodziak77","blitz",1,0,5,7
"both","tymekkk","blitz",4,0.5,5,7
"white","Mlodziak77","blitz",1,0,5,7
"white","tymekkk","blitz",1,0,5,7
"black","grooney","bullet",12,0.583333333333333,5,8
"black","Mlodziak77","blitz",2,0.5,5,8
"black","Mlodziak77","bullet",1,1,5,8
"black","tymekkk","blitz",4,0.25,5,8
"both","grooney","blitz",1,1,5,8
"both","grooney","bullet",28,0.517857142857143,5,8
"both","Mlodziak77","blitz",4,0.375,5,8
"both","Mlodziak77","bullet",2,1,5,8
"both","tymekkk","blitz",8,0.375,5,8
"white","grooney","blitz",1,1,5,8
"white","grooney","bullet",16,0.46875,5,8
"white","Mlodziak77","blitz",2,0.25,5,8
"white","Mlodziak77","bullet",1,1,5,8
"white","tymekkk","blitz",4,0.5,5,8
"black","grooney","blitz",2,0,5,9
"black","grooney","bullet",22,0.363636363636364,5,9
"black","grooney","rapid",2,1,5,9
"black","tymekkk","blitz",7,0.571428571428571,5,9
"both","grooney","blitz",4,0.25,5,9
"both","grooney","bullet",46,0.423913043478261,5,9
"both","grooney","rapid",4,1,5,9
"both","tymekkk","blitz",10,0.5,5,9
"white","grooney","blitz",2,0.5,5,9
"white","grooney","bullet",24,0.479166666666667,5,9
"white","grooney","rapid",2,1,5,9
"white","tymekkk","blitz",3,0.333333333333333,5,9
"black","grooney","blitz",6,0.833333333333333,5,10
"black","grooney","bullet",26,0.423076923076923,5,10
"black","grooney","rapid",5,1,5,10
"black","Mlodziak77","blitz",6,0.5,5,10
"black","Mlodziak77","bullet",1,0,5,10
"black","Mlodziak77","rapid",1,0,5,10
"black","tymekkk","blitz",6,0.833333333333333,5,10
"both","grooney","blitz",11,0.727272727272727,5,10
