TIME,GEO,UNIT,MOT_NRG,Value,Flag and Footnotes
2012,Belgium,Number,Total,"5,444,000",
2012,Bulgaria,Number,Total,"2,807,000",
2012,Czechia,Number,Total,"4,706,000",d
2012,Denmark,Number,Total,:,
2012,Germany,Number,Total,"43,431,000",
2012,Estonia,Number,Total,"602,100",
2012,Ireland,Number,Total,"1,951,130",d
2012,Greece,Number,Total,"5,167,557",
2012,Spain,Number,Total,"22,248,000",d
2012,France,Number,Total,"32,132,000",
2012,Croatia,Number,Total,"1,445,000",
2012,Italy,Number,Total,"37,078,000",
2012,Cyprus,Number,Total,"475,000",
2012,Latvia,Number,Total,"618,270",
2012,Lithuania,Number,Total,"1,753,407",
2012,Luxembourg,Number,Total,"355,900",
2012,Hungary,Number,Total,"2,986,030",
2012,Malta,Number,Total,"249,612",
2012,Netherlands,Number,Total,"7,916,000",
2012,Austria,Number,Total,"4,584,000",
2012,Poland,Number,Total,"18,744,000",
2012,Portugal,Number,Total,"4,259,000",
2012,Romania,Number,Total,"4,487,000",
2012,Slovenia,Number,Total,"1,066,030",
2012,Slovakia,Number,Total,"1,824,200",
2012,Finland,Number,Total,"3,037,000",
2012,Sweden,Number,Total,"4,446,349",
2012,Liechtenstein,Number,Total,"28,000",
2012,Norway,Number,Total,"2,443,000",
2012,Switzerland,Number,Total,"4,255,000",
2012,United Kingdom,Number,Total,"28,722,000",d
2012,North Macedonia,Number,Total,"302,000",
2012,Turkey,Number,Total,"8,648,880",
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,:,
2013,Belgium,Number,Total,"5,493,472",
2013,Bulgaria,Number,Total,"2,910,235",
2013,Czechia,Number,Total,"4,729,185",
2013,Denmark,Number,Total,"2,278,121",
2013,Germany (until 1990 former territory of the FRG),Number,Total,"43,851,000",
2013,Estonia,Number,Total,"628,565",
2013,Ireland,Number,Total,"1,984,550",d
2013,Greece,Number,Total,"5,124,208",
2013,Spain,Number,Total,"22,025,000",d
2013,France,Number,Total,"32,858,000",
2013,Croatia,Number,Total,"1,448,000",
2013,Italy,Number,Total,"36,963,000",
2013,Cyprus,Number,Total,"474,561",
2013,Latvia,Number,Total,"634,600",
2013,Lithuania,Number,Total,"1,808,982",
2013,Luxembourg,Number,Total,"363,247",
2013,Hungary,Number,Total,"3,040,732",
2013,Malta,Number,Total,"256,096",
2013,Netherlands,Number,Total,"7,932,290",
2013,Austria,Number,Total,"4,641,308",
2013,Poland,Number,Total,"19,389,446",
2013,Portugal,Number,Total,"4,327,478",
2013,Romania,Number,Total,"4,695,660",
2013,Slovenia,Number,Total,"1,066,795",
2013,Slovakia,Number,Total,"1,879,800",
2013,Finland,Number,Total,"3,105,834",
2013,Sweden,Number,Total,"4,494,661",
2013,Liechtenstein,Number,Total,"28,100",
2013,Norway,Number,Total,"2,500,265",
2013,Switzerland,Number,Total,"4,321,000",
2013,United Kingdom,Number,Total,:,
2013,North Macedonia,Number,Total,"346,798",
2013,Turkey,Number,Total,"9,283,923",
2013,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,:,
2014,Belgium,Number,Total,"5,555,499",
2014,Bulgaria,Number,Total,"3,013,863",
2014,Czechia,Number,Total,"4,833,386",
2014,Denmark,Number,Total,"2,329,578",
2014,Germany (until 1990 former territory of the FRG),Number,Total,"44,403,000",
2014,Estonia,Number,Total,"652,950",
2014,Ireland,Number,Total,"2,018,310",d
2014,Greece,Number,Total,"5,110,873",
2014,Spain,Number,Total,"22,029,512",d
2014,France,Number,Total,"32,531,000",
2014,Croatia,Number,Total,"1,474,000",
2014,Italy,Number,Total,"37,080,753",
2014,Cyprus,Number,Total,"478,492",
2014,Latvia,Number,Total,"657,799",
2014,Lithuania,Number,Total,"1,205,668",
2014,Luxembourg,Number,Total,"372,827",
2014,Hungary,Number,Total,"3,107,695",
2014,Malta,Number,Total,"265,950",
2014,Netherlands,Number,Total,"7,979,083",
2014,Austria,Number,Total,"4,694,921",
2014,Poland,Number,Total,"20,003,863",
2014,Portugal,Number,Total,"4,699,645",
2014,Romania,Number,Total,"4,907,564",
2014,Slovenia,Number,Total,"1,068,362",
2014,Slovakia,Number,Total,"1,949,100",
2014,Finland,Number,Total,"3,172,735",
2014,Sweden,Number,Total,"4,584,711",
