Kategoria: Wszystko

Tydzień,Zanieczyszczenie powietrza: (Cały świat)
2018-01-07,7
2018-01-14,7
2018-01-21,7
2018-01-28,7
2018-02-04,9
2018-02-11,8
2018-02-18,7
2018-02-25,7
2018-03-04,7
2018-03-11,7
2018-03-18,7
2018-03-25,7
2018-04-01,6
2018-04-08,6
2018-04-15,7
2018-04-22,7
2018-04-29,8
2018-05-06,7
2018-05-13,7
2018-05-20,7
2018-05-27,7
2018-06-03,7
2018-06-10,8
2018-06-17,6
2018-06-24,7
2018-07-01,8
2018-07-08,5
2018-07-15,6
2018-07-22,9
2018-07-29,15
2018-08-05,23
2018-08-12,33
2018-08-19,82
2018-08-26,17
2018-09-02,9
2018-09-09,6
2018-09-16,7
2018-09-23,6
2018-09-30,7
2018-10-07,7
2018-10-14,7
2018-10-21,7
2018-10-28,9
2018-11-04,22
2018-11-11,73
2018-11-18,35
2018-11-25,10
2018-12-02,9
2018-12-09,8
2018-12-16,7
2018-12-23,6
2018-12-30,6
2019-01-06,7
2019-01-13,9
2019-01-20,9
2019-01-27,10
2019-02-03,9
2019-02-10,8
2019-02-17,8
2019-02-24,9
2019-03-03,9
2019-03-10,8
2019-03-17,8
2019-03-24,7
2019-03-31,8
2019-04-07,7
2019-04-14,6
2019-04-21,7
2019-04-28,6
2019-05-05,7
2019-05-12,8
2019-05-19,8
2019-05-26,11
2019-06-02,9
2019-06-09,7
2019-06-16,6
2019-06-23,7
2019-06-30,6
2019-07-07,6
2019-07-14,6
2019-07-21,6
2019-07-28,6
2019-08-04,7
2019-08-11,6
2019-08-18,6
2019-08-25,6
2019-09-01,6
2019-09-08,9
2019-09-15,16
2019-09-22,11
2019-09-29,8
2019-10-06,8
2019-10-13,8
2019-10-20,11
2019-10-27,27
2019-11-03,23
2019-11-10,17
2019-11-17,13
2019-11-24,13
2019-12-01,14
2019-12-08,13
2019-12-15,19
2019-12-22,18
2019-12-29,14
2020-01-05,17
2020-01-12,21
2020-01-19,12
2020-01-26,11
2020-02-02,9
2020-02-09,9
2020-02-16,9
2020-02-23,9
2020-03-01,9
2020-03-08,8
2020-03-15,8
2020-03-22,12
2020-03-29,10
2020-04-05,10
2020-04-12,9
2020-04-19,9
2020-04-26,8
2020-05-03,8
2020-05-10,7
2020-05-17,7
2020-05-24,6
2020-05-31,7
2020-06-07,6
2020-06-14,5
2020-06-21,6
2020-06-28,6
2020-07-05,6
2020-07-12,4
2020-07-19,4
2020-07-26,4
2020-08-02,4
2020-08-09,5
2020-08-16,27
2020-08-23,30
2020-08-30,15
2020-09-06,67
2020-09-13,100
2020-09-20,18
2020-09-27,24
2020-10-04,17
2020-10-11,9
2020-10-18,9
2020-10-25,10
2020-11-01,8
2020-11-08,10
2020-11-15,9
2020-11-22,8
2020-11-29,8
2020-12-06,8
2020-12-13,7
2020-12-20,6
2020-12-27,6
2021-01-03,7
2021-01-10,7
2021-01-17,8
2021-01-24,6
2021-01-31,7
2021-02-07,7
2021-02-14,7
2021-02-21,9
2021-02-28,8
2021-03-07,8
2021-03-14,9
2021-03-21,7
2021-03-28,7
2021-04-04,7
2021-04-11,7
2021-04-18,7
2021-04-25,6
2021-05-02,7
2021-05-09,6
2021-05-16,6
2021-05-23,8
2021-05-30,8
2021-06-06,8
2021-06-13,7
2021-06-20,6
2021-06-27,5
2021-07-04,6
2021-07-11,9
2021-07-18,16
2021-07-25,15
2021-08-01,20
2021-08-08,21
2021-08-15,22
2021-08-22,16
2021-08-29,14
2021-09-05,12
2021-09-12,8
2021-09-19,8
2021-09-26,7
2021-10-03,8
2021-10-10,7
2021-10-17,7
2021-10-24,7
2021-10-31,8
2021-11-07,10
