Kategoria: Wszystko

Tydzień,Klimat: (Cały świat)
2018-01-07,39
2018-01-14,43
2018-01-21,37
2018-01-28,36
2018-02-04,35
2018-02-11,32
2018-02-18,33
2018-02-25,35
2018-03-04,24
2018-03-11,32
2018-03-18,35
2018-03-25,31
2018-04-01,32
2018-04-08,33
2018-04-15,34
2018-04-22,33
2018-04-29,37
2018-05-06,37
2018-05-13,38
2018-05-20,39
2018-05-27,36
2018-06-03,37
2018-06-10,40
2018-06-17,36
2018-06-24,31
2018-07-01,33
2018-07-08,48
2018-07-15,69
2018-07-22,71
2018-07-29,75
2018-08-05,80
2018-08-12,74
2018-08-19,75
2018-08-26,74
2018-09-02,75
2018-09-09,73
2018-09-16,70
2018-09-23,66
2018-09-30,65
2018-10-07,70
2018-10-14,70
2018-10-21,67
2018-10-28,60
2018-11-04,60
2018-11-11,76
2018-11-18,64
2018-11-25,71
2018-12-02,68
2018-12-09,73
2018-12-16,68
2018-12-23,71
2018-12-30,77
2019-01-06,70
2019-01-13,73
2019-01-20,70
2019-01-27,73
2019-02-03,68
2019-02-10,72
2019-02-17,78
2019-02-24,67
2019-03-03,74
2019-03-10,54
2019-03-17,29
2019-03-24,24
2019-03-31,28
2019-04-07,25
2019-04-14,25
2019-04-21,26
2019-04-28,25
2019-05-05,27
2019-05-12,28
2019-05-19,30
2019-05-26,26
2019-06-02,28
2019-06-09,29
2019-06-16,27
2019-06-23,28
2019-06-30,28
2019-07-07,28
2019-07-14,26
2019-07-21,30
2019-07-28,25
2019-08-04,27
2019-08-11,26
2019-08-18,28
2019-08-25,29
2019-09-01,33
2019-09-08,30
2019-09-15,35
2019-09-22,36
2019-09-29,63
2019-10-06,88
2019-10-13,94
2019-10-20,91
2019-10-27,95
2019-11-03,87
2019-11-10,95
2019-11-17,85
2019-11-24,87
2019-12-01,84
2019-12-08,86
2019-12-15,91
2019-12-22,93
2019-12-29,92
2020-01-05,89
2020-01-12,83
2020-01-19,96
2020-01-26,84
2020-02-02,99
2020-02-09,87
2020-02-16,92
2020-02-23,84
2020-03-01,85
2020-03-08,85
2020-03-15,80
2020-03-22,67
2020-03-29,77
2020-04-05,71
2020-04-12,72
2020-04-19,70
2020-04-26,66
2020-05-03,76
2020-05-10,75
2020-05-17,80
2020-05-24,89
2020-05-31,96
2020-06-07,93
2020-06-14,86
2020-06-21,87
2020-06-28,88
2020-07-05,86
2020-07-12,84
2020-07-19,82
2020-07-26,91
2020-08-02,83
2020-08-09,83
2020-08-16,100
2020-08-23,94
2020-08-30,91
2020-09-06,91
2020-09-13,88
2020-09-20,82
2020-09-27,79
2020-10-04,81
2020-10-11,78
2020-10-18,80
2020-10-25,84
2020-11-01,68
2020-11-08,77
2020-11-15,77
2020-11-22,73
2020-11-29,84
2020-12-06,80
2020-12-13,81
2020-12-20,79
2020-12-27,84
2021-01-03,76
2021-01-10,89
2021-01-17,71
2021-01-24,81
2021-01-31,73
2021-02-07,80
2021-02-14,88
2021-02-21,68
2021-02-28,72
2021-03-07,63
2021-03-14,63
2021-03-21,69
2021-03-28,67
2021-04-04,64
2021-04-11,64
2021-04-18,68
2021-04-25,65
2021-05-02,68
2021-05-09,67
2021-05-16,62
2021-05-23,62
2021-05-30,65
2021-06-06,66
2021-06-13,65
2021-06-20,70
2021-06-27,85
2021-07-04,69
2021-07-11,68
2021-07-18,73
2021-07-25,86
2021-08-01,70
2021-08-08,72
2021-08-15,71
2021-08-22,70
2021-08-29,77
2021-09-05,77
2021-09-12,74
2021-09-19,75
2021-09-26,76
2021-10-03,80
2021-10-10,86
2021-10-17,82
2021-10-24,80
2021-10-31,79
2021-11-07,73
