Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
A&J,2021-12-18 19:51:03,00:53:06,Autoplayed: user action: User_Interaction; ,Wiedźmin: Sezon 2: Redański wywiad (Odcinek 4),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:53:12,00:53:12,PL (Poland)
A&J,2021-12-18 18:50:46,00:55:07,Autoplayed: user action: User_Interaction; ,Wiedźmin: Sezon 2: Straty (Odcinek 3),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:55:13,00:55:13,PL (Poland)
A&J,2021-12-18 17:53:44,00:54:18,Autoplayed: user action: User_Interaction; ,Wiedźmin: Sezon 2: Kaer Morhen (Odcinek 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:54:22,00:54:22,PL (Poland)
A&J,2021-12-18 16:45:08,00:59:17,,Wiedźmin: Sezon 2: Ziarno prawdy (Odcinek 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:59:18,00:59:18,PL (Poland)
A&J,2021-12-18 16:42:01,00:03:04,,Sezon 1 (podsumowanie): Wiedźmin,RECAP,Samsung CE 2019 Muse-M UHD TV Smart TV,00:03:04,00:03:04,PL (Poland)
A&J,2021-12-18 16:41:48,00:00:01,Autoplayed: user action: None; ,Wiedźmin: Sezon 1: Początek końca (Odcinek 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:01,00:00:01,PL (Poland)
A&J,2021-12-18 16:41:05,00:00:24,,Wiedźmin: Sezon 1: Początek końca (Odcinek 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:24,Not latest view,PL (Poland)
A&J,2021-12-14 20:27:51,00:00:01,Autoplayed: user action: None; ,Czarne lustro: Sezon 1: Hymn państwowy (Odcinek 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:18,00:00:18,PL (Poland)
A&J,2021-12-14 19:40:05,00:47:45,,Czarne lustro: Sezon 1: Cała Twoja historia (Odcinek 3),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:47:45,00:47:45,PL (Poland)
A&J,2021-12-14 19:34:25,00:00:01,Autoplayed: user action: None; ,Czarne lustro: Sezon 5: Striking Vipers (Odcinek 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:01,00:00:01,PL (Poland)
A&J,2021-12-14 19:33:25,00:00:34,Autoplayed: user action: None; ,Black Mirror: Season 1_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:34,00:00:34,PL (Poland)
A&J,2021-12-14 19:33:04,00:00:16,Autoplayed: user action: None; ,Sezon 1 (klip bonusowy nr 2): Biohakerzy,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:16,00:00:16,PL (Poland)
A&J,2021-12-14 19:32:58,00:00:04,Autoplayed: user action: None; ,Timeless: Season 2_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:04,00:00:04,PL (Poland)
A&J,2021-12-14 19:32:49,00:00:05,Autoplayed: user action: None; ,Tajemnica,TEASER_TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:05,00:00:05,PL (Poland)
A&J,2021-12-14 19:32:24,00:00:11,Autoplayed: user action: None; ,Salvation: Season 2_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:11,00:00:11,PL (Poland)
A&J,2021-12-14 19:31:52,00:00:07,Autoplayed: user action: None; ,Zwiastun nr 2: Niebo o północy,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:07,00:00:07,PL (Poland)
A&J,2021-12-14 19:31:41,00:00:09,Autoplayed: user action: None; ,Spectral (zwiastun),TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:09,00:00:09,PL (Poland)
A&J,2021-12-14 19:31:33,00:00:05,Autoplayed: user action: None; ,Czarny punkt: Sezon 1 (zwiastun),TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:05,00:00:05,PL (Poland)
A&J,2021-12-14 19:29:49,00:01:39,Autoplayed: user action: None; ,Podróżnicy: Sezon 1 (zwiastun),TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:01:39,00:01:39,PL (Poland)
A&J,2021-12-14 19:29:23,00:00:16,Autoplayed: user action: None; ,Zwiastun: Space Sweepers,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:16,00:00:16,PL (Poland)
A&J,2021-12-14 19:28:49,00:00:20,Autoplayed: user action: None; ,Zwiastun: Zemsta rewolwerowca,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:20,00:00:20,PL (Poland)
A&J,2021-12-14 19:28:37,00:00:04,Autoplayed: user action: None; ,Zwiastun: W strefie wojny,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:04,00:00:04,PL (Poland)
A&J,2021-12-14 19:28:26,00:00:07,Autoplayed: user action: None; ,Sezon 1 (zwiastun): Ku jezioru,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:07,00:00:07,PL (Poland)
A&J,2021-12-14 19:27:21,00:00:50,Autoplayed: user action: None; ,Another Life: Sezon 1 (zwiastun),TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:50,00:00:50,PL (Poland)
