Entity,Code,Year,Amphibians (total endemic)
South Sudan,SSD,2020,1
Spain,ESP,2020,3
Sri Lanka,LKA,2020,105
Sudan,SDN,2020,1
Suriname,SUR,2020,4
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,0
Switzerland,CHE,2020,0
Syria,SYR,2020,0
Taiwan,TWN,2020,13
Tajikistan,TJK,2020,0
Tanzania,TZA,2020,86
Thailand,THA,2020,9
Timor,TLS,2020,0
Togo,TGO,2020,1
Tokelau,TKL,2020,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2020,5
Tunisia,TUN,2020,0
Turkey,TUR,2020,8
Turkmenistan,TKM,2020,0
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2020,0
Uganda,UGA,2020,0
Ukraine,UKR,2020,0
United Arab Emirates,ARE,2020,0
United Kingdom,GBR,2020,0
United States,USA,2020,183
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,1
Uruguay,URY,2020,1
Uzbekistan,UZB,2020,0
Vanuatu,VUT,2020,0
Vatican,VAT,2020,0
Venezuela,VEN,2020,183
Vietnam,VNM,2020,46
Wallis and Futuna,WLF,2020,0
Western Sahara,ESH,2020,0
Yemen,YEM,2020,1
Zambia,ZMB,2020,2
Zimbabwe,ZWE,2020,2
